raw_line
1497|45422765|082018|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|199501.30|180|042016|052016|28|152|152|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|N||||||1068.74||||||||||||||||||||704|677|701|669|2|N||||0.00|7||N||||||N||||||||||||||||N|CIRT 2017-7||||||
1497|45422765|092021|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|157856.43|180|042016|052016|65|115|115|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|N||||||1176.91||||||||||||||||||||704|677|792|707|2|N||||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2017-7||7||||
1497|45422765|112020|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|169488.92|180|042016|052016|55|125|125|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000001000000000000000000000000000000000000000000|N|N||||||1146.70||||||||||||||||||||704|677|792|707|2|N||||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2017-7||7||||
1497|45422765|062020|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|175271.84|180|042016|052016|50|130|130|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000100000000000000000000000000000000|N|N||||||1131.68||||||||||||||||||||704|677|782|709|2|N||||0.00|7||N||||||N||||||||||||||||N|CIRT 2017-7||||||
1497|45422765|072019|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|187559.84|180|042016|052016|39|141|141|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000010000000000|N|N||||||1099.76||||||||||||||||||||704|677|723|663|2|N||||0.00|7||N||||||N||||||||||||||||N|CIRT 2017-7||||||
1497|45422765|072018|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|200570.04|180|042016|052016|27|153|153|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|N||||||1065.97||||||||||||||||||||704|677|697|669|2|N||||0.00|7||N||||||N|||||||||||||||||||||||
1497|45422765|062021|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|161377.99|180|042016|052016|62|118|118|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|N||||||1167.76||||||||||||||||||||704|677|792|707|2|N||||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2017-7||7||||
1497|45422765|062019|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|188659.60|180|042016|052016|38|142|142|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000000100000000|N|N||||||1096.90||||||||||||||||||||704|677|705|616|2|N||||0.00|7||N||||||N||||||||||||||||N|CIRT 2017-7||||||
1497|45422765|072020|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|174137.22|180|042016|052016|51|129|129|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000010000000000000000000000000000000000|N|N||||||1134.62||||||||||||||||||||704|677|807|707|2|N||||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2017-7||7||||
1497|45422765|072021|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|160207.19|180|042016|052016|63|117|117|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|N||||||1170.80||||||||||||||||||||704|677|792|707|2|N||||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2017-7||7||||
1497|45422765|062018|C|Other|Other|FANNIE MAE|3.125|3.125|228000.00|211105.97|201636.01|180|042016|052016|26|154|154|042031|83|83|2|41|725|714|N|R|SF|1|P|TX|10180|795|6.00|FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|N||||||1063.20||||||||||||||||||||704|677|697|669|2|N||||0.00|7||N||||||N|||||||||||||||||||||||
